Geneid1,Geneid,HD1_Blood,HD2_Blood,HD6_Blood,HD1_1H,HD2_1H,HD6_1H,HD1_2H,HD2_2H,HD6_2H,HD1_4H,HD2_4H,HD6_4H,HD1_6H,HD2_6H,HD6_6H
ENSG00000223972,DDX11L1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000227232,WASH7P,56,51,57,105,85,31,64,30,18,41,45,17,40,48,118
ENSG00000278267,MIR6859-1,8,9,12,1,6,1,2,0,3,0,0,6,1,0,28
ENSG00000243485,MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332,MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,AL627309.1,2,2,8,2,7,12,4,0,5,1,0,4,0,0,0
ENSG00000239945,AL627309.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,CICP27,39,65,95,42,38,44,31,1,38,0,0,23,2,1,7
ENSG00000268903,AL627309.6,312,371,537,486,488,244,340,29,105,2,2,158,2,0,24
ENSG00000269981,AL627309.7,961,1036,1245,1208,955,803,618,73,638,9,4,357,3,4,75
ENSG00000239906,AL627309.2,177,180,99,102,81,62,58,3,51,0,1,29,0,0,14
ENSG00000241860,AL627309.5,74,85,70,56,50,43,29,6,50,1,1,43,0,5,14
ENSG00000222623,RNU6-1100P,2,4,1,2,0,1,0,0,1,0,0,0,0,0,0
ENSG00000241599,AL627309.4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000279928,FO538757.2,0,0,0,2,4,0,6,1,2,7,6,2,6,5,2
ENSG00000279457,FO538757.1,172,130,154,154,200,47,164,160,90,143,140,122,140,133,213
ENSG00000273874,MIR6859-2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,AP006222.1,34,28,74,22,20,48,30,6,34,0,8,34,6,0,7
ENSG00000241670,ENSG00000241670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,RPL23AP24,11,11,15,20,15,22,26,17,6,14,34,8,13,21,10
ENSG00000236743,ENSG00000236743,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000236601,AL732372.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,AL732372.2,176,170,126,81,66,126,51,2,111,3,11,48,2,2,24
ENSG00000269732,WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278566,ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
