Geneid	Blood	1 hour	2 hours	4 hours	6 hours	10 hours
AACS	37	144.333333333333	374	410.333333333333	653.333333333333	712.512179781687
AASS	4.66666666666667	34.3333333333333	113	165.333333333333	184	203.240420899594
ABCA12	0	3.33333333333333	50.6666666666667	58.6666666666667	59	9.51835030580561
ABCA3	16.3333333333333	122.333333333333	321	395.333333333333	473.333333333333	813.705495623813
ABCE1	40.6666666666667	430.666666666667	1400	2253	2750.33333333333	1056.7313422387
ABL2	146	627.333333333333	1462.66666666667	2118	2603.33333333333	1590.78220062749
ACP1	88	453	1264.33333333333	1767.66666666667	2171.33333333333	1398.74190994978
ACSF2	52	250	724	880	1064	745.371986285622
ACTG1	8845	31970.6666666667	62102	81291	103542	69019.610408881
ACTL6A	43.3333333333333	308.333333333333	776	1049.33333333333	1284.33333333333	813.390435031481
ACTR5	18.3333333333333	91.3333333333333	231.666666666667	210.666666666667	322.666666666667	434.614572006305
ADCY9	21	141.333333333333	407.333333333333	526.666666666667	628.333333333333	738.542372836268
ADK	70	335.333333333333	908	1226	1480.33333333333	1192.70647215997
ADO	15.3333333333333	77	192.333333333333	271	336.666666666667	223.429060160083
ADSSL1	4	35.3333333333333	125	147	161.666666666667	145.945930884222
AGA	34.6666666666667	114.333333333333	232.333333333333	298.333333333333	349.666666666667	355.515337176837
AGBL5	47.3333333333333	214	403.666666666667	560	679.333333333333	560.059828035279
AGPS	82.3333333333333	483	1458	2129.66666666667	2486.66666666667	1405.42455260891
AHDC1	49	241.333333333333	678.666666666667	886.666666666667	935.666666666667	1398.68709433724
AIFM1	51.6666666666667	196.666666666667	583.333333333333	761.666666666667	1002	1302.19803886321
AIG1	96.3333333333333	348.333333333333	798.666666666667	1207.33333333333	1446.66666666667	776.415647160104
AIMP1	61.3333333333333	312.666666666667	818.666666666667	1284	1514.33333333333	883.944270136331
AK3	34.6666666666667	200	496.666666666667	788.333333333333	918.333333333333	700.08676474214
AKR1B1	45.6666666666667	225	572.666666666667	658.666666666667	1187	1357.37478783515
AKR7A2	23.3333333333333	130	339.333333333333	435	671	761.963988631826
ALDH18A1	24.3333333333333	178.333333333333	527.666666666667	702.666666666667	911.666666666667	1040.56381645972
ALG5	22	88.3333333333333	229.666666666667	283	422.666666666667	525.374809548702
ALG8	13.3333333333333	121.333333333333	361	511	716.333333333333	391.586432390269
ALKBH2	8.33333333333333	58	212.333333333333	221.666666666667	411.333333333333	189.452009892688
ALKBH8	12	70.3333333333333	204.666666666667	306.666666666667	412.666666666667	245.680837297597
ALMS1-IT1	0	7.33333333333333	22	24.6666666666667	55.6666666666667	21.8273194222813
ALS2CL	79.3333333333333	376.333333333333	776.333333333333	770.666666666667	1359.66666666667	2156.54916169199
ALYREF	77.6666666666667	365.333333333333	840.666666666667	961.333333333333	1324.33333333333	815.368908404113
ANAPC1	62	318.333333333333	801.333333333333	1093	1232.66666666667	557.894327387129
ANK3	24.3333333333333	192.666666666667	512	808.666666666667	738.666666666667	840.706449544216
ANKRD24	2.66666666666667	17.6666666666667	66.6666666666667	73.6666666666667	108.666666666667	52.4864788817521
ANKRD40	32.6666666666667	225	620	962.666666666667	1093.66666666667	919.938112404778
ANKRD42	34.6666666666667	115.666666666667	273	272.333333333333	387.333333333333	395.754082442311
ANKS3	17	98.6666666666667	201.666666666667	164.666666666667	304	370.410740918715
ANKS6	24.3333333333333	171	472.666666666667	556	714.333333333333	568.922772337604
ANO7	2.66666666666667	17	23.3333333333333	48	46.3333333333333	57.525896681285
AP001372.2	2.33333333333333	36	81	103	149.333333333333	99.312305246287
APEX1	75.3333333333333	417.333333333333	1068.66666666667	1465.66666666667	2223	2670.30095178575
APEX2	47.6666666666667	154	427	534.333333333333	775.666666666667	696.843186622415
APRT	70.3333333333333	457	1183.33333333333	1206.66666666667	2235	2550.14160727735
APTX	50.3333333333333	242.333333333333	579.333333333333	802.333333333333	943.333333333333	769.631371354696
ARHGAP28	0	12.6666666666667	39	89.6666666666667	71.3333333333333	7.42210987329955
ARHGEF39	10	63.3333333333333	100.333333333333	114	144.666666666667	98.8075618502777
ARMC1	26	137.666666666667	360.666666666667	538.666666666667	724.333333333333	624.213491440956
ARMCX5	14.6666666666667	81.3333333333333	194	274.666666666667	320	260.15609860582
ARVCF	9.33333333333333	40	76	55.6666666666667	108.666666666667	282.122650790803
ASAH2	0	7	20.3333333333333	33.3333333333333	44.6666666666667	16.410854741509
ASB13	10.6666666666667	62	205.666666666667	235	382.333333333333	301.90684379199
ASB9	0	6	5.33333333333333	7	10.6666666666667	28.5930208785267
ASCC3	55	338	965	1364.33333333333	1320.66666666667	1021.02464896215
ATAD2	59.6666666666667	312.666666666667	908.333333333333	1235.66666666667	1407.66666666667	513.617161665162
ATL3	98	483.333333333333	1704.66666666667	2325.66666666667	3079.66666666667	2983.13373910487
ATP13A2	44	261.666666666667	696	873.333333333333	1203.66666666667	1468.14846241898
ATP6V0E2	21.6666666666667	88.6666666666667	208.666666666667	264.333333333333	418	449.209361897795
ATXN10	42	258.666666666667	738.333333333333	894	1198	1236.76405712957
AURKB	20	84.6666666666667	147	226.333333333333	365.666666666667	187.741701816223
AZGP1P1	0	6.66666666666667	17.6666666666667	16.6666666666667	22.6666666666667	4.95772728426349
B3GALT6	18	80.6666666666667	178.666666666667	231.333333333333	334.666666666667	454.91417890031
B4GALNT4	0	12	24	21	54.6666666666667	118.866811278406
B4GALT7	25.6666666666667	107	232.333333333333	317.333333333333	475.333333333333	593.458890717036
BAG2	10	56.6666666666667	113.666666666667	213.333333333333	251.333333333333	138.341732969059
BARD1	8.66666666666667	51	137.666666666667	196.333333333333	265	188.869755453209
BCAT2	12	105.333333333333	320	369.333333333333	513	493.950151737543
BCCIP	41	216	493.666666666667	671.333333333333	831	776.599784229774
BDNF-AS	0	5	21.3333333333333	33	24	12.5890259372451
BFSP1	0.666666666666667	16	55.3333333333333	88.3333333333333	96.3333333333333	46.7522187489042
BIVM	3.33333333333333	18.3333333333333	58.3333333333333	58	108	57.0781984693208
BMS1	55.3333333333333	358.666666666667	977.333333333333	1383	1474	1378.82096006356
BMS1P1	1	10.6666666666667	25.6666666666667	36.6666666666667	46	28.1577517512974
BOLA3	5.33333333333333	58.3333333333333	131.666666666667	181.666666666667	215.666666666667	135.735404259802
BPNT1	31.3333333333333	117.666666666667	288	408.666666666667	528.666666666667	536.307140757692
C10orf91	0	4	6.33333333333333	17.3333333333333	11.6666666666667	12.6118724599198
C12orf29	12.3333333333333	80	234.666666666667	333.666666666667	410.666666666667	344.072504245145
C12orf73	6.66666666666667	26	68	91.6666666666667	122	74.8047577768968
C15orf41	3.33333333333333	21.3333333333333	47	49.6666666666667	85.3333333333333	54.1728511832072
C16orf58	44.6666666666667	173	407.333333333333	523.666666666667	722	681.154999193644
C16orf96	0.666666666666667	50	159.666666666667	207	254.666666666667	32.2705683752143
C17orf51	3	69.6666666666667	200	301.666666666667	348.333333333333	235.012484896991
C17orf75	13.6666666666667	77.6666666666667	244.666666666667	268	375.333333333333	231.80710694297
C1orf21	16	96.3333333333333	333.666666666667	387.666666666667	405.666666666667	327.170664172138
C1orf216	11.3333333333333	79.3333333333333	172.666666666667	219	341.666666666667	443.749908479063
C1orf35	21.3333333333333	95.3333333333333	242.666666666667	230.333333333333	341.333333333333	423.842779451984
CA11	8	63.6666666666667	153	200	282	250.462961087113
CA9	0	10.6666666666667	21.3333333333333	20.3333333333333	17	6.42371016756209
CACFD1	17	60.3333333333333	198.333333333333	192.666666666667	334	621.91384376579
CACNB1	20	177.333333333333	483	546	768	1217.65488799597
CAMK2D	25	291.333333333333	988.666666666667	1550	1766.66666666667	1226.44841888529
CAND1	190.666666666667	693.333333333333	1864	2396.66666666667	3071.66666666667	2576.85329729705
CAPN12	9.66666666666667	39	91	81.6666666666667	183.333333333333	259.723601130863
CAPN5	6.33333333333333	68	164	143.333333333333	217	458.295039054303
CASC8	0	4	13.3333333333333	25.3333333333333	26.6666666666667	5.66642058786789
CASD1	25.3333333333333	178.333333333333	738.666666666667	937	1282	936.574134256279
CASK	63	296	959.666666666667	1525.66666666667	1609	1270.30653646704
CCDC124	36	177	370.333333333333	452.666666666667	669.333333333333	1046.18857637424
CCDC127	15	91.3333333333333	275.333333333333	371	538.333333333333	644.180828166782
CCDC34	1.33333333333333	24	30	65	68	32.5658916669876
CCDC51	7	39.6666666666667	112.333333333333	125	174.333333333333	164.542502449632
CCDC58	9	45	133	231.666666666667	269.333333333333	173.813079525363
CCNB1IP1	19.6666666666667	233.333333333333	618.666666666667	912	1253	790.898800192381
CCT6A	125	612.666666666667	1591	2176	2959.33333333333	2826.63413339891
CCT7	296	1098	2760	3632	4993.66666666667	4132.87269314635
CCT8	210.666666666667	956.333333333333	2499.33333333333	3388	4241.33333333333	3093.30676347087
CD2AP	64	324	944.666666666667	1528.33333333333	1614.33333333333	1929.99715149565
CD81	99.6666666666667	423.666666666667	1091	1122.33333333333	2156.33333333333	2468.00394119218
CDCA4	12.3333333333333	56.6666666666667	137	148.333333333333	255.666666666667	166.870735691316
CDCA7	5	27.3333333333333	81.6666666666667	116	246	74.349955300695
CDH24	6	35	129.666666666667	140	258.666666666667	286.698979357081
CDK18	2.66666666666667	17.3333333333333	59	68.6666666666667	148.666666666667	202.937778556109
CDKN2AIPNL	14.6666666666667	103.666666666667	254	300.333333333333	408.333333333333	259.847248094836
CEBPZ	79	442.666666666667	1188	1789.66666666667	1654.33333333333	1088.31294601973
CELSR2	10	39	108.666666666667	133.666666666667	254.333333333333	326.514725833331
CENPU	11	99.3333333333333	222	302	440	177.742737477446
CEP126	8.33333333333333	62.6666666666667	221.333333333333	353	304.666666666667	124.283378044302
CEP290	37	177.333333333333	433.333333333333	593	528	316.218334792791
CEP72	5.33333333333333	56	146.333333333333	156.333333333333	230.333333333333	226.810303217443
CEP85	78.3333333333333	274.666666666667	589	772.666666666667	911.333333333333	751.667296105071
CFAP97	40.6666666666667	288.666666666667	911.666666666667	1748.33333333333	1566.33333333333	1050.8554840445
CHCHD10	6.33333333333333	51.3333333333333	103.666666666667	135.333333333333	219.666666666667	274.633594802028
CHCHD7	99.3333333333333	314	769.666666666667	1064	1219.33333333333	1240.6615688596
CHIC1	16.6666666666667	68.3333333333333	163	238.666666666667	296.333333333333	249.896917084286
CHID1	20	166	463	577	803.333333333333	772.785601988423
CISD3	10.6666666666667	62	189	263	370	323.006601770531
CKAP5	70.3333333333333	447.666666666667	1216	1946	1959.66666666667	1746.96326280386
CLCF1	12	85.6666666666667	214.333333333333	273.333333333333	350.666666666667	384.154231910491
CLIC2	14.3333333333333	57.3333333333333	138.666666666667	138	195.666666666667	494.506021067679
CLIC3	4	53	135	182.333333333333	180.333333333333	126.606494188161
CLNS1A	66	505	1410.33333333333	2060.66666666667	2508	1719.90616073903
CLSTN1	424.333333333333	1825.66666666667	4758.33333333333	7046	8456.66666666667	6623.58351429814
