Geneid	Blood	1 hour 	2 hours 	4 hours 	6 hours 
AC004233.3	110.6666667	55	39.66666667	62.66666667	59.33333333
AC004706.1	16.33333333	6.333333333	4	2.666666667	3.666666667
AC005840.4	37.66666667	14.33333333	12.33333333	10	5.666666667
AC007000.1	30.66666667	15	12	9.666666667	7
AC007342.7	25.33333333	10.33333333	9.333333333	10.33333333	18.33333333
AC008554.1	248.6666667	88.66666667	65.66666667	67.33333333	66
AC008957.1	7.666666667	0.666666667	0.333333333	0	2
AC009041.2	36.66666667	7.666666667	2	3.666666667	0.666666667
AC010168.2	89.66666667	47	45.33333333	22	49.66666667
AC010319.1	9.666666667	2.333333333	1	1.333333333	4.666666667
AC012645.2	20	4	3.666666667	0.333333333	3.666666667
AC012651.1	22.66666667	7	4	1.666666667	3.333333333
AC018904.1	34.33333333	11	6.333333333	11.66666667	8.333333333
AC018926.1	34	7	4.333333333	3	3.666666667
AC019226.1	7.333333333	1.333333333	2.666666667	0.666666667	1.333333333
AC021106.1	69.33333333	32.66666667	8.333333333	1.333333333	4.333333333
AC022150.2	32.33333333	15.33333333	11.66666667	7.666666667	20.66666667
AC022893.1	19.66666667	9	4.666666667	6	2.666666667
AC024060.1	20	2.333333333	2.666666667	4.333333333	9
AC025165.5	49	16	9.666666667	4	10.33333333
AC090616.6	25.33333333	10.66666667	6	5	2
AC097641.2	7.333333333	1.333333333	3	2	4.666666667
AC103810.2	16.33333333	5.333333333	8	4.666666667	3.666666667
AC103858.1	16.33333333	2	2.333333333	0	0
AC106037.1	14.33333333	2	0	0	1
AC108134.1	249.6666667	105.6666667	67	25.33333333	61
AC108673.3	15.33333333	1	1.333333333	0	2.666666667
AC114490.1	20.66666667	6	9.333333333	5.333333333	5.333333333
AC239868.1	277.6666667	151.6666667	157	105.6666667	133.6666667
ACSM3	30	14.33333333	16	10.33333333	11.33333333
ADNP-AS1	29	8.666666667	11.66666667	15	17
ADTRP	8.666666667	2.666666667	3.333333333	2.666666667	2.666666667
AL031777.1	30	13.33333333	8.666666667	8	8.666666667
AL135999.1	16.66666667	6	6.666666667	8	13
AL353763.2	55.66666667	21.33333333	18.66666667	19	28.66666667
ALOX15P1	33.33333333	5.333333333	8.333333333	1.666666667	2.333333333
AMACR	19	8.666666667	16.66666667	10.33333333	16.33333333
AMD1	2334.333333	1481.333333	1426.333333	1379.666667	1750.333333
ANKS1B	11.66666667	1	5.333333333	7.333333333	9.333333333
ANKZF1	1104.666667	457.6666667	433.3333333	327.6666667	639.6666667
ARHGAP6	10.66666667	1.333333333	2	4	4.333333333
ASB8	707.3333333	413.3333333	399.6666667	417.6666667	528
B3GNT9	74	40.33333333	35.66666667	31.33333333	44
BTLA	49.33333333	28	19	12	9.666666667
C18orf32	107.6666667	60.66666667	43.66666667	36.66666667	40.33333333
C19orf71	79	36.66666667	30.33333333	24.66666667	42.66666667
C2orf68	695.6666667	385.3333333	314	372	443.3333333
CALCOCO1	4704.333333	1958.333333	1241.333333	657	805
CARS2	2011.666667	1149.333333	767.3333333	483.3333333	652.3333333
CBR4	142.6666667	60.66666667	113.6666667	140.6666667	196.6666667
CCDC126	138.6666667	87.66666667	65.33333333	63	105.3333333
CCDC30	95.66666667	57.66666667	42.66666667	36	33.33333333
CCDC58P1	8.666666667	1	0	1	0.333333333
CCR2	71.66666667	29.66666667	2	8.333333333	2
CD27-AS1	81	51.66666667	45.33333333	36	82
CDKN1B	1532.666667	799.6666667	674	627.3333333	749.6666667
CIRBP	3011	1921.666667	1684	1695.666667	2392
CPA3	30	4.666666667	4	0.666666667	0
CYB561D1	566.6666667	390.3333333	323.3333333	364.6666667	491.6666667
DCAF4L1	50.66666667	25	23.66666667	22	31
DTHD1	22.66666667	8	9	2	0.666666667
ENSG00000227603	15.66666667	6.333333333	7.333333333	5	10.66666667
ENSG00000260822	521.3333333	297	163	73.33333333	105.6666667
ENSG00000273478	31.66666667	7.666666667	12.33333333	12.33333333	15.66666667
FAM111A	2032.666667	1280.333333	831.3333333	633.3333333	844
FBXL3	644.6666667	415	371.6666667	477.3333333	548.3333333
FCER1A	166.6666667	43	16.66666667	0.666666667	0
FLVCR1-DT	94.66666667	40.66666667	37	41.33333333	34
FTX	332.3333333	133	132.3333333	89.33333333	194
GATA2	211	53.33333333	22.66666667	3.666666667	3
GDPD3	430.3333333	294.3333333	167.6666667	67.33333333	103.6666667
GIMAP7	168.3333333	44	14.66666667	13.66666667	3.666666667
GNAL	157.3333333	71.33333333	42	19.66666667	32.66666667
GOLGA8O	17	5	7.333333333	2.666666667	4.333333333
GSEC	162.3333333	93.33333333	116	97.66666667	114.3333333
HAPLN3	95.33333333	43.33333333	46.66666667	47	90.66666667
HEXD	448.6666667	270.6666667	180.6666667	96.33333333	158.6666667
HIST1H2BE	34	14.33333333	10.33333333	14	10
HIST1H2BF	37	23.33333333	9.666666667	10	7.333333333
HLA-DPA1	139.6666667	95.33333333	45.66666667	31	52.33333333
HRH4	40.66666667	9.666666667	2	6	2
HSPE1P18	106.6666667	6.666666667	3.333333333	1.333333333	0.666666667
IL11RA	201.6666667	82.66666667	50.66666667	25.66666667	54.66666667
IL5RA	255.3333333	102	35.33333333	1.333333333	0.666666667
IMPG2	21.66666667	5.666666667	4	6.666666667	9.333333333
ING4	523.6666667	307.3333333	317	366	370.6666667
INO80E	438.6666667	249.6666667	306	363.6666667	507.6666667
INTS6P1	15	7.333333333	13	13.66666667	13
IRF2BPL	1096.666667	600.3333333	559.6666667	608.6666667	736.6666667
ITGA2B	71.33333333	22	11	4.333333333	7.666666667
JMJD7-PLA2G4B	120.6666667	65.66666667	62.66666667	28.33333333	56
KANSL1L	270.6666667	164	166	167.6666667	197.3333333
KAZN	175	102.6666667	99.66666667	112.6666667	123
KBTBD7	424.6666667	170	91.33333333	41.33333333	73
KCNC4	43	15.33333333	11.33333333	12	12.33333333
KLF3-AS1	26	11	11	6	2.666666667
KLRF1	37.33333333	13.33333333	5.666666667	2	1.333333333
LIN37	103.6666667	59.33333333	42.66666667	44.66666667	56.66666667
LINC00476	21.33333333	10	10.66666667	14.66666667	12.66666667
LINC00861	326.3333333	106.6666667	35.33333333	18.66666667	10.66666667
LINC00957	49.66666667	19.66666667	25.33333333	25.66666667	31.66666667
LINC01138	87	42.33333333	53	73.66666667	79
LPAR6	195.3333333	79.33333333	46.66666667	19.33333333	7.666666667
LRTOMT	140.6666667	80.66666667	100.3333333	107.6666667	117.6666667
LUC7L3	1530.333333	702	1097	1597	1818.333333
MED17	82	42.33333333	45	44.33333333	64.66666667
MEF2B	15.66666667	4	4	1.666666667	1.666666667
MEIS1	16.33333333	4.333333333	8.333333333	16.33333333	18.33333333
METTL7A	73.66666667	43.66666667	42.33333333	49.66666667	36.33333333
MHENCR	135	56	25.33333333	22	37.33333333
MLYCD	91	60	76.33333333	85.33333333	125.6666667
MS4A2	57.33333333	12.66666667	1	0.666666667	0.666666667
MTRNR2L12	18.33333333	10	11.33333333	15.66666667	8.666666667
MTURN	727.3333333	426	310	256.3333333	350.3333333
MTX1P1	112	42	43.66666667	50.33333333	84
NSUN5P1	173	87.66666667	91.33333333	89.66666667	219.6666667
NUDT18	57	32	23	36	44
NUP50-DT	334.6666667	192.6666667	169.3333333	145.3333333	176.6666667
ORAI3	92.66666667	44	51	47	62.33333333
OTUD1	338.6666667	206.3333333	165.6666667	187	181.6666667
PABPN1	687.3333333	287.6666667	398	372.3333333	662.6666667
PAQR8	63.66666667	30	24.66666667	28.66666667	26.66666667
PBLD	113	75.66666667	86.66666667	110	108
PCED1A	136.3333333	75.33333333	52.33333333	32.33333333	48.66666667
PCSK6	8	0.666666667	3	2	2
PIGCP1	23.33333333	13	17	19.66666667	22.33333333
PKHD1L1	14	3.333333333	3	4.666666667	1.333333333
PPOX	78	43.66666667	54	44.66666667	105.3333333
PPP1R32	61.66666667	26.66666667	18	19.66666667	38.33333333
PPP1R3D	423.3333333	237	244.6666667	290	337.6666667
PPT2-EGFL8	12	2	4.333333333	7	9.666666667
PRKX	212.3333333	134.6666667	159.6666667	185.3333333	207.3333333
PTAR1	1120.333333	543	507.6666667	619.6666667	835
PTGIR	14	2.666666667	1	3.333333333	4
RAB33B	480.3333333	286	195.6666667	214.3333333	294
RAB3D	1931.333333	945.3333333	551.3333333	421.6666667	471
REX1BD	132	77.66666667	59.33333333	39.33333333	84.66666667
RHOB	2251.666667	1057.666667	848	555.3333333	718.3333333
RMI1	268	153.3333333	174.3333333	202	219.3333333
RNU6-5P	48.66666667	23.66666667	6.666666667	2.333333333	3.666666667
SAP30L	527.3333333	316.3333333	291.6666667	282	337
SDCBP2-AS1	112.3333333	22.66666667	25	28.33333333	25.33333333
SLC40A1	1903.666667	1031	626.3333333	307.3333333	342.3333333
SLC45A3	69.66666667	33	39.66666667	44.66666667	57.66666667
SLC46A3	210.3333333	120.6666667	150.3333333	133.6666667	245.6666667
SNX1	1668.666667	974.6666667	892.6666667	861.3333333	1056.333333
SNX18	1696	1065.666667	1009	939.6666667	929.6666667
SOWAHD	98.66666667	36.66666667	16	2.333333333	4.666666667
SP1	4808	2458	2017	2399.333333	2659.333333
STEAP4	9350	5270.666667	3494	3202.333333	4416
STX10	2526	1513.333333	913.3333333	504.6666667	833
SUGP2	1064	656	786.6666667	846.3333333	1071.666667
TBC1D3D	64.66666667	36.66666667	41	22.33333333	40.33333333
TBCC	607	376.3333333	299	332.6666667	376.3333333
TIGD3	489.6666667	173.6666667	75.66666667	12.66666667	19.66666667
TMEM107	44.66666667	24	38	45.66666667	58.33333333
TMEM229B	56.66666667	15.33333333	8	5.333333333	4.666666667
TMEM79	125	89.33333333	98	81	136.6666667
TMOD2	1258.666667	359	119	61	45.66666667
TOPORS	2405.666667	1317.333333	839	845.3333333	830.6666667
TRIM23	333.3333333	189.3333333	193.3333333	225	290.3333333
TRIM52-AS1	47.66666667	31	20.33333333	21	24.33333333
TSEN34	2301.333333	1173	659.6666667	293.3333333	452
TST	256.3333333	157.3333333	149	104.3333333	179.6666667
TTC14	409.3333333	180	258.3333333	368	457
TUBB1	139.3333333	37.33333333	10	10	7.666666667
VAMP1	731.6666667	163	92.33333333	79.66666667	57
VCPIP1	2092.666667	1109	674.6666667	664.3333333	649.3333333
WDR73	56.66666667	37	51.66666667	57	79.66666667
WDR86	22	11.66666667	5	4.333333333	10.33333333
WHAMMP2	27	13.66666667	12.33333333	18.33333333	15.66666667
ZBED6CL	136.6666667	85	113	69.33333333	151.3333333
ZFAND2B	746	426	395	453	564
ZKSCAN4	101.6666667	68.66666667	62	68.66666667	88
ZNF101	180	102	73.33333333	49.66666667	65.33333333
ZNF169	73.33333333	38.66666667	39.33333333	40	54.66666667
ZNF217	4466.333333	1893	2076	2886.666667	2014.666667
ZNF345	27.66666667	14	17	23.66666667	41.33333333
ZNF430	292	122.6666667	128.3333333	175.6666667	178
ZNF441	108	78.66666667	100.3333333	88.33333333	102.3333333
ZNF486	402	163.6666667	118.3333333	76	66
ZNF582-AS1	7	1.666666667	2.666666667	3.333333333	5.333333333
ZNF684	48	29.66666667	29.33333333	38.33333333	43
ZNF701	405.3333333	216.3333333	231.3333333	253.6666667	240.6666667
ZNF767P	353	186.3333333	198.6666667	162.6666667	227.6666667
ZNF776	585.6666667	369.3333333	321.6666667	333	376.3333333
