Geneid	Blood	1 hour	2 hours	4 hours	6 hours
A4GALT	0	115.3333333	336.3333333	425	499
AACS	37	144.3333333	374	410.3333333	653.3333333
AADAT	0	37.33333333	105.6666667	133	146.3333333
AAMDC	10.66666667	54	92.66666667	157	161.3333333
AARS	53	2622.333333	8792.333333	11663.33333	13601
AASS	4.666666667	34.33333333	113	165.3333333	184
ABALON	0.666666667	12	22.33333333	36.66666667	35
ABCA12	0	3.333333333	50.66666667	58.66666667	59
ABCA3	16.33333333	122.3333333	321	395.3333333	473.3333333
ABCA4	1.333333333	15.66666667	49.66666667	60.66666667	187.3333333
ABCB9	2.333333333	36.66666667	86.66666667	100.6666667	174
ABCC3	32	907	2786	3934	5179
ABCC9	0	5.333333333	13.66666667	19.66666667	17.66666667
ABCE1	40.66666667	430.6666667	1400	2253	2750.333333
ABCF1	221.3333333	819.3333333	2062.333333	2735.666667	2923
ABCF2	64.66666667	496	1451.666667	2079.333333	2664.333333
ABCG2	1.333333333	18.33333333	61.33333333	97.66666667	116
ABHD12	50.66666667	272	715.3333333	818.6666667	1130
ABL2	146	627.3333333	1462.666667	2118	2603.333333
ABLIM2	0	3.666666667	10.66666667	3.666666667	13.33333333
ABLIM3	13	1725.333333	5260.666667	8615.333333	8070.333333
AC002056.1	0	5.666666667	14.33333333	20	31.33333333
AC003092.1	0	18.66666667	26	37	13
AC004803.1	0	5.333333333	9.333333333	9.333333333	19.33333333
AC004816.1	0	29	71.66666667	135	119.6666667
AC004943.2	1.333333333	20.33333333	67	105	91.66666667
AC005077.2	0	4.333333333	10.66666667	12	11.66666667
AC005077.4	0	34.33333333	65.33333333	119	108
AC005083.1	0	10	19.66666667	35.33333333	27.33333333
AC005618.1	0	4.333333333	10	22.66666667	12.33333333
AC006213.1	1.666666667	11.66666667	28.33333333	30.33333333	19.66666667
AC006329.1	0	4.666666667	5	12.66666667	16.66666667
AC006333.2	2.666666667	17	35.33333333	54.66666667	62.33333333
AC006453.2	4	25.33333333	33	41.66666667	51.66666667
AC006504.5	9.333333333	41	95.33333333	139.6666667	177.3333333
AC007318.1	36.66666667	132.3333333	279	278	435.3333333
AC007319.1	0	7.666666667	17	16	19
AC007405.3	0	15	49.33333333	85.66666667	76
AC008038.1	162.6666667	788.3333333	1844	2609.666667	3722
AC008063.1	0	3.333333333	8.333333333	7.333333333	9.666666667
AC008663.2	0	5	6.333333333	12.33333333	11.33333333
AC008703.1	0	8.333333333	7.333333333	13.66666667	17.66666667
AC008759.1	0	5	35	57.33333333	56.33333333
AC008759.3	0	10	42.66666667	51.33333333	48.66666667
AC008966.1	0	6	21.33333333	30	30.66666667
AC009078.3	0	4	4.666666667	5.666666667	14
AC009237.14	0	23.33333333	76	103.6666667	125.3333333
AC009237.15	0	8	14.33333333	21	20.66666667
AC009237.3	0.666666667	55	162	195.3333333	228
AC009299.2	0.666666667	18.33333333	51.33333333	84.33333333	81
AC009404.1	13.33333333	74	155	133.6666667	195.6666667
AC009549.1	0	10.33333333	28	35	41.33333333
AC010197.1	0	8.333333333	17.66666667	34.33333333	30.66666667
AC010207.1	0	7	15.66666667	14.33333333	15.66666667
AC010329.1	0	8	28.66666667	26	27.33333333
AC010343.1	18.66666667	82.33333333	215.6666667	385.3333333	363
AC010442.1	9.333333333	42.33333333	126.6666667	120.6666667	249.3333333
AC010503.4	3.666666667	27.66666667	69	74.66666667	87.66666667
AC010536.1	0	9.333333333	10.66666667	13.66666667	21
AC010735.2	0	5	7	18.33333333	31
AC010761.1	23.66666667	109.6666667	255.3333333	316	466.3333333
AC010969.2	0	4.666666667	19	19	36
AC011294.1	0.666666667	12.66666667	41	42	63.33333333
AC011481.1	17.33333333	248.6666667	690	842.6666667	1226.666667
AC011511.5	0	10.66666667	15.33333333	10	19
AC012640.2	0	11	27.66666667	17.33333333	36
AC016205.1	0	4	12.66666667	19.33333333	25.33333333
AC016582.3	0.666666667	35.33333333	146	180	183.3333333
AC019080.1	1	27	67	137	105.3333333
AC019117.1	3.333333333	72.66666667	215.6666667	210.3333333	295.3333333
AC022034.1	0	7.333333333	16.66666667	22.33333333	45.33333333
AC022148.1	0	12.33333333	53.66666667	71	90.66666667
